,School,Conf,Pre,11/10,11/17,11/24,12/1
0,Purdue,Big Ten,1,2,1,1,1
1,Arizona,Big 12,13,5,4,2,2
2,Michigan,Big Ten,7,6,7,7,3
3,Duke,ACC,6,4,5,4,4
4,UConn,Big East,4,3,3,5,5
5,Louisville,ACC,11,12,6,6,6
6,Michigan State,Big Ten,22,17,17,11,7
7,Houston,Big 12,2,1,2,3,8
8,BYU,Big 12,8,7,9,9,9
9,Iowa State,Big 12,16,16,16,15,10
10,Gonzaga,WCC,21,19,13,12,11
11,Alabama,SEC,15,8,11,8,12
12,Tennessee,SEC,18,20,20,17,13
13,Illinois,Big Ten,17,14,8,13,14
14,Florida,SEC,3,10,10,10,15
15,UNC,ACC,25,18,18,16,16
16,Vanderbilt,SEC,,,,24,17
17,Kentucky,SEC,9,9,12,19,18
18,Texas Tech,Big 12,10,11,15,20,19
19,Auburn,SEC,20,22,22,21,20
20,,,1,2,3,4,5
21,School,Conf,Pre,11/10,11/17,11/24,12/1
22,Kansas,Big 12,19,25,24,,21
23,Indiana,Big Ten,,,,25,22
24,St. John's (NY),Big East,5,13,14,14,23
25,USC,Big Ten,,,,,24
26,Arkansas,SEC,14,21,21,22,25
27,UCLA,Big Ten,12,15,19,18,
28,NC State,ACC,,,25,23,
29,Wisconsin,Big Ten,24,24,23,,
30,Creighton,Big East,23,23,,,
